date,永安_厂级_上网电量,永安_厂级_供热厂用电量,永安_厂级_供热用厂用电率,永安_厂级_利用小时,永安_厂级_发电厂用电率,永安_厂级_发电标煤量,永安_厂级_发电用厂用电量,永安_厂级_开机率,永安_厂级_日电网调度发电量,永安_厂级_综合供电煤耗,永安_厂级_综合厂用电率,永安_厂级_综合厂用电量,永安_厂级_耗煤量,永安_厂级_负荷率,永安_永安#7_上网电量,永安_永安#7_利用小时,永安_永安#7_发电厂用电率,永安_永安#7_发电标煤量,永安_永安#7_发电用厂用电量,永安_永安#7_开机率,永安_永安#7_综合供电煤耗,永安_永安#7_综合厂用电率,永安_永安#7_综合厂用电量,永安_永安#7_负荷率,永安_永安#7_运行小时,永安_永安#7_发电量
20220101.0,934.56,9.99,7.359859,16.737333,5.753605,2960.787772,57.78,100.0,1001.7,316.810881,6.93858,69.68,5731.0,69.738889,522.1676,18.645667,5.204176,1632.348134,29.1106,100.0,312.61,6.650768,37.2024,77.690278,24.0,559.37
20220102.0,920.65,9.42,7.520934,16.515667,5.912568,2925.14145,58.59,100.0,993.2,317.725677,7.094274,70.3,5377.0,68.815278,518.4009,18.515667,5.218392,1624.927621,28.9866,100.0,313.45,6.673466,37.0691,77.148611,24.0,555.47
20220103.0,925.6,10.05,7.824208,16.632,5.986452,2939.385472,59.74,100.0,995.0,317.565414,7.248076,72.33,5872.0,69.3,523.5573,18.705667,5.392644,1651.980349,30.2619,100.0,315.53,6.70255,37.6127,77.940278,24.0,561.17
20220104.0,949.96,11.89,7.59891,17.063833,5.791977,2993.685354,59.3,100.0,1024.6,315.138043,7.215065,73.87,6046.0,71.099306,519.881,18.634,5.386766,1622.808542,30.1131,100.0,312.15,7.00136,39.139,77.641667,24.0,559.02
20220105.0,1009.64,12.11,7.358522,18.093167,5.659595,3178.018823,61.44,100.0,1085.7,314.767523,6.997117,75.96,6562.0,75.388194,519.7804,18.631667,5.401431,1622.338584,30.1913,100.0,312.12,7.007711,39.1696,77.631944,24.0,558.95
20220106.0,944.02,12.49,7.57875,16.941167,5.770952,2970.127611,58.66,100.0,1017.9,314.625496,7.127608,72.45,6363.0,70.588194,517.5022,18.595,5.623017,1616.573372,31.368,100.0,312.38,7.232733,40.3478,77.479167,24.0,557.85
20220107.0,932.75,12.71,7.625472,16.7515,5.754709,2937.359253,57.84,100.0,1007.1,314.913884,7.19836,72.35,6461.0,69.797917,516.7845,18.559,5.643551,1617.225414,31.4216,100.0,312.94,7.181691,39.9855,77.329167,24.0,556.77
20220108.0,960.14,12.62,7.641732,17.232333,5.73631,3026.852974,59.31,100.0,1034.0,315.251211,7.137745,73.8,7207.0,71.801389,518.0772,18.639333,5.75169,1621.374405,32.1623,100.0,312.96,7.350549,41.1028,77.663889,24.0,559.18
20220109.0,992.37,12.03,7.489158,17.779833,5.679656,3129.125656,60.59,100.0,1045.2,315.318445,6.976068,74.42,6815.0,74.082639,513.5381,18.470333,5.690711,1605.833639,31.5328,100.0,312.7,7.321994,40.5719,76.959722,24.0,554.11
20220110.0,1024.27,12.83,7.786659,18.363167,5.695278,3224.125902,62.75,100.0,1103.4,314.773048,7.036731,77.53,7068.0,76.513194,516.8741,18.630667,5.818382,1615.696749,32.5201,100.0,312.59,7.522705,42.0459,77.627778,24.0,558.92
20220111.0,995.5,12.64,7.502655,17.8185,5.537316,3134.459763,59.2,100.0,1069.7,314.862859,6.885166,73.61,6495.0,74.24375,518.0656,18.576333,5.448546,1624.239269,30.3642,100.0,313.52,7.038418,39.2244,77.401389,24.0,557.29
20220112.0,1007.55,12.66,7.453776,18.055833,5.60576,3173.385567,60.73,100.0,1094.3,314.960604,6.996815,75.8,6766.0,75.232639,512.1685,18.404333,5.536975,1607.748138,30.5713,100.0,313.91,7.237698,39.9615,76.684722,24.0,552.13
