时间,城市,产品名称,本期价格,价格类型,_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-07-18,滨海新区,特级铸造焦,3900.00,出厂价,1,2024-07-18 00:00:00,1,0,2024-07-20 22:13:35,0,2024-07-20 22:13:35,,,
2024-07-18,滨海新区,二级铸造焦,3550.00,出厂价,2,2024-07-18 00:00:00,1,0,2024-07-20 22:13:35,0,2024-07-20 22:13:35,,,
2024-07-11,滨海新区,特级铸造焦,3900.00,出厂价,3,2024-07-11 00:00:00,1,0,2024-07-20 22:13:35,0,2024-07-20 22:13:35,,,
2024-07-11,滨海新区,二级铸造焦,3550.00,出厂价,4,2024-07-11 00:00:00,1,0,2024-07-20 22:13:35,0,2024-07-20 22:13:35,,,
2024-07-04,滨海新区,特级铸造焦,3900.00,出厂价,5,2024-07-04 00:00:00,1,0,2024-07-20 22:13:35,0,2024-07-20 22:13:35,,,
2024-07-04,滨海新区,二级铸造焦,3550.00,出厂价,6,2024-07-04 00:00:00,1,0,2024-07-20 22:13:35,0,2024-07-20 22:13:35,,,
2024-06-27,滨海新区,特级铸造焦,3900.00,出厂价,7,2024-06-27 00:00:00,1,0,2024-07-20 22:13:35,0,2024-07-20 22:13:35,,,
2024-06-27,滨海新区,二级铸造焦,3550.00,出厂价,8,2024-06-27 00:00:00,1,0,2024-07-20 22:13:35,0,2024-07-20 22:13:35,,,
2024-06-20,滨海新区,特级铸造焦,3900.00,出厂价,9,2024-06-20 00:00:00,1,0,2024-07-20 22:13:35,0,2024-07-20 22:13:35,,,
2024-06-20,滨海新区,二级铸造焦,3550.00,出厂价,10,2024-06-20 00:00:00,1,0,2024-07-20 22:13:35,0,2024-07-20 22:13:35,,,
2024-06-13,滨海新区,特级铸造焦,3900.00,出厂价,11,2024-06-13 00:00:00,1,0,2024-07-20 22:13:35,0,2024-07-20 22:13:35,,,
2024-06-13,滨海新区,二级铸造焦,3550.00,出厂价,12,2024-06-13 00:00:00,1,0,2024-07-20 22:13:35,0,2024-07-20 22:13:35,,,
2024-06-06,滨海新区,特级铸造焦,3900.00,出厂价,13,2024-06-06 00:00:00,1,0,2024-07-20 22:13:35,0,2024-07-20 22:13:35,,,
2024-06-06,滨海新区,二级铸造焦,3550.00,出厂价,14,2024-06-06 00:00:00,1,0,2024-07-20 22:13:35,0,2024-07-20 22:13:35,,,
2024-05-30,滨海新区,特级铸造焦,3900.00,出厂价,15,2024-05-30 00:00:00,1,0,2024-07-20 22:13:35,0,2024-07-20 22:13:35,,,
