时间,项目名称,当月值(亿千瓦时),同比增长(%),累计值(亿千瓦时),累计增长(%),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-05,第二产业用电量,5304.00,6.80,25365.00,7.20,1,2024-05-31 00:00:00,1,0,2024-07-20 16:00:27,0,2024-07-20 16:00:27,,,
2024-05,工业用电量,5235.50,7.00,25018.80,7.40,2,2024-05-31 00:00:00,1,0,2024-07-20 16:00:27,0,2024-07-20 16:00:27,,,
2024-04,第二产业用电量,5171.00,6.20,20214.00,7.50,3,2024-04-30 00:00:00,1,0,2024-07-20 16:00:27,0,2024-07-20 16:00:27,,,
2024-04,工业用电量,5106.00,6.40,19937.30,7.60,4,2024-04-30 00:00:00,1,0,2024-07-20 16:00:27,0,2024-07-20 16:00:27,,,
2024-03,第二产业用电量,5421.00,4.90,15056.00,8.00,5,2024-03-31 00:00:00,1,0,2024-07-20 16:00:27,0,2024-07-20 16:00:27,,,
2024-03,工业用电量,5350.80,5.10,14844.00,8.20,6,2024-03-31 00:00:00,1,0,2024-07-20 16:00:27,0,2024-07-20 16:00:27,,,
2024-02,第二产业用电量,,,9520.00,9.70,7,2024-02-29 00:00:00,1,0,2024-07-20 16:00:27,0,2024-07-20 16:00:27,,,
2024-02,工业用电量,,,9378.10,9.80,8,2024-02-29 00:00:00,1,0,2024-07-20 16:00:27,0,2024-07-20 16:00:27,,,
2023-12,第二产业用电量,5566.50,9.80,60745.00,6.50,9,2023-12-31 00:00:00,1,0,2024-07-20 16:00:27,0,2024-07-20 16:00:27,,,
2023-12,工业用电量,5469.60,10.10,59779.20,6.60,10,2023-12-31 00:00:00,1,0,2024-07-20 16:00:27,0,2024-07-20 16:00:27,,,
2023-11,第二产业用电量,5277.00,9.80,55179.00,6.10,11,2023-11-30 00:00:00,1,0,2024-07-20 16:00:27,0,2024-07-20 16:00:27,,,
2023-11,工业用电量,5195.10,9.90,54309.60,6.30,12,2023-11-30 00:00:00,1,0,2024-07-20 16:00:27,0,2024-07-20 16:00:27,,,
2023-10,第二产业用电量,5194.00,8.60,49912.00,5.80,13,2023-10-31 00:00:00,1,0,2024-07-20 16:00:27,0,2024-07-20 16:00:27,,,
2023-10,工业用电量,5121.90,8.80,49124.20,6.00,14,2023-10-31 00:00:00,1,0,2024-07-20 16:00:27,0,2024-07-20 16:00:27,,,
2023-09,第二产业用电量,5192.00,8.70,44703.00,5.50,15,2023-09-30 00:00:00,1,0,2024-07-20 16:00:27,0,2024-07-20 16:00:27,,,
2023-09,工业用电量,5114.10,8.90,43988.50,5.60,16,2023-09-30 00:00:00,1,0,2024-07-20 16:00:27,0,2024-07-20 16:00:27,,,
2023-08,第二产业用电量,5458.00,7.60,39511.00,5.00,17,2023-08-31 00:00:00,1,0,2024-07-20 16:00:27,0,2024-07-20 16:00:27,,,
2023-08,工业用电量,5364.40,7.90,38873.70,5.20,18,2023-08-31 00:00:00,1,0,2024-07-20 16:00:27,0,2024-07-20 16:00:27,,,
2023-07,第二产业用电量,5383.00,5.70,34054.00,4.60,19,2023-07-31 00:00:00,1,0,2024-07-20 16:00:27,0,2024-07-20 16:00:27,,,
2023-07,工业用电量,5287.10,5.90,33510.00,4.80,20,2023-07-31 00:00:00,1,0,2024-07-20 16:00:27,0,2024-07-20 16:00:27,,,
2023-06,第二产业用电量,5027.00,2.30,28670.00,4.40,21,2023-06-30 00:00:00,1,0,2024-07-20 16:00:27,0,2024-07-20 16:00:27,,,
2023-06,工业用电量,4945.10,2.40,28222.70,4.60,22,2023-06-30 00:00:00,1,0,2024-07-20 16:00:27,0,2024-07-20 16:00:27,,,
