时间,煤炭产地,产品名称,价格(元/吨),价格类型,_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-07-08,河北省,主焦煤,1900.00,到厂价,1,2024-07-08 00:00:00,1,0,2024-07-17 09:31:39,0,2024-07-17 09:31:39,,,
2024-07-01,河北省,主焦煤,1900.00,到厂价,2,2024-07-01 00:00:00,1,0,2024-07-17 09:31:39,0,2024-07-17 09:31:39,,,
2024-06-24,河北省,主焦煤,1900.00,到厂价,3,2024-06-24 00:00:00,1,0,2024-07-17 09:31:39,0,2024-07-17 09:31:39,,,
2024-06-17,河北省,主焦煤,1920.00,到厂价,4,2024-06-17 00:00:00,1,0,2024-07-17 09:31:39,0,2024-07-17 09:31:39,,,
2024-06-03,河北省,主焦煤,1980.00,到厂价,5,2024-06-03 00:00:00,1,0,2024-07-17 09:31:39,0,2024-07-17 09:31:39,,,
2024-05-27,河北省,主焦煤,1980.00,到厂价,6,2024-05-27 00:00:00,1,0,2024-07-17 09:31:39,0,2024-07-17 09:31:39,,,
2024-05-20,河北省,主焦煤,1980.00,到厂价,7,2024-05-20 00:00:00,1,0,2024-07-17 09:31:39,0,2024-07-17 09:31:39,,,
2024-05-13,河北省,主焦煤,1980.00,到厂价,8,2024-05-13 00:00:00,1,0,2024-07-17 09:31:39,0,2024-07-17 09:31:39,,,
2024-05-06,河北省,主焦煤,1920.00,到厂价,9,2024-05-06 00:00:00,1,0,2024-07-17 09:31:39,0,2024-07-17 09:31:39,,,
2024-04-29,河北省,主焦煤,1920.00,到厂价,10,2024-04-29 00:00:00,1,0,2024-07-17 09:31:39,0,2024-07-17 09:31:39,,,
2024-04-22,河北省,主焦煤,1790.00,到厂价,11,2024-04-22 00:00:00,1,0,2024-07-17 09:31:39,0,2024-07-17 09:31:39,,,
2024-04-15,河北省,主焦煤,1768.00,到厂价,12,2024-04-15 00:00:00,1,0,2024-07-17 09:31:39,0,2024-07-17 09:31:39,,,
2024-04-08,河北省,主焦煤,1768.00,到厂价,13,2024-04-08 00:00:00,1,0,2024-07-17 09:31:39,0,2024-07-17 09:31:39,,,
2024-04-01,河北省,主焦煤,1768.00,到厂价,14,2024-04-01 00:00:00,1,0,2024-07-17 09:31:39,0,2024-07-17 09:31:39,,,
2024-03-25,河北省,主焦煤,1768.00,到厂价,15,2024-03-25 00:00:00,1,0,2024-07-17 09:31:39,0,2024-07-17 09:31:39,,,
2024-03-18,河北省,主焦煤,1980.00,到厂价,16,2024-03-18 00:00:00,1,0,2024-07-17 09:31:39,0,2024-07-17 09:31:39,,,
2024-03-11,河北省,主焦煤,1980.00,到厂价,17,2024-03-11 00:00:00,1,0,2024-07-17 09:31:39,0,2024-07-17 09:31:39,,,
2024-03-04,河北省,主焦煤,2070.00,到厂价,18,2024-03-04 00:00:00,1,0,2024-07-17 09:31:39,0,2024-07-17 09:31:39,,,
2024-02-26,河北省,主焦煤,2160.00,到厂价,19,2024-02-26 00:00:00,1,0,2024-07-17 09:31:39,0,2024-07-17 09:31:39,,,
2024-02-19,河北省,主焦煤,2160.00,到厂价,20,2024-02-19 00:00:00,1,0,2024-07-17 09:31:39,0,2024-07-17 09:31:39,,,
2024-02-05,河北省,主焦煤,2160.00,到厂价,21,2024-02-05 00:00:00,1,0,2024-07-17 09:31:39,0,2024-07-17 09:31:39,,,
2024-01-29,河北省,主焦煤,2160.00,到厂价,22,2024-01-29 00:00:00,1,0,2024-07-17 09:31:39,0,2024-07-17 09:31:39,,,
2024-01-22,河北省,主焦煤,2160.00,到厂价,23,2024-01-22 00:00:00,1,0,2024-07-17 09:31:39,0,2024-07-17 09:31:39,,,
2024-01-15,河北省,主焦煤,2070.00,到厂价,24,2024-01-15 00:00:00,1,0,2024-07-17 09:31:39,0,2024-07-17 09:31:39,,,
2024-01-08,河北省,主焦煤,2070.00,到厂价,25,2024-01-08 00:00:00,1,0,2024-07-17 09:31:39,0,2024-07-17 09:31:39,,,
