时间,项目名称,当期值,_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024.00,煤炭消费量(万吨标准煤),317072.00,1,2024-12-31 00:00:00,1,0,2025-09-15 23:21:45,0,2025-09-15 23:21:45,,,
2023.00,煤炭消费量(万吨标准煤),316300.00,2,2023-12-31 00:00:00,1,0,2025-09-15 23:21:45,0,2025-09-15 23:21:45,,,
2022.00,煤炭消费量(万吨标准煤),304042.00,3,2022-12-31 00:00:00,1,0,2025-09-15 23:21:45,0,2025-09-15 23:21:45,,,
2021.00,煤炭消费量(万吨标准煤),293440.00,4,2021-12-31 00:00:00,1,0,2025-09-15 23:21:45,0,2025-09-15 23:21:45,,,
2020.00,煤炭消费量(万吨标准煤),282864.00,5,2020-12-31 00:00:00,1,0,2025-09-15 23:21:45,0,2025-09-15 23:21:45,,,
2020.00,人均煤炭生活消费量(千克),45.00,6,2020-12-31 00:00:00,1,0,2025-09-15 23:21:45,0,2025-09-15 23:21:45,,,
2020.00,生活煤炭消费量(万吨),6283.00,7,2020-12-31 00:00:00,1,0,2025-09-15 23:21:45,0,2025-09-15 23:21:45,,,
2020.00,平均每天煤炭消费量(万吨),1106.20,8,2020-12-31 00:00:00,1,0,2025-09-15 23:21:45,0,2025-09-15 23:21:45,,,
2019.00,煤炭消费量(万吨标准煤),280422.00,9,2019-12-31 00:00:00,1,0,2025-09-15 23:21:45,0,2025-09-15 23:21:45,,,
2019.00,生活煤炭消费量(万吨),6547.00,10,2019-12-31 00:00:00,1,0,2025-09-15 23:21:45,0,2025-09-15 23:21:45,,,
2019.00,平均每天煤炭消费量(万吨),1101.10,11,2019-12-31 00:00:00,1,0,2025-09-15 23:21:45,0,2025-09-15 23:21:45,,,
2019.00,人均煤炭生活消费量(千克),47.00,12,2019-12-31 00:00:00,1,0,2025-09-15 23:21:45,0,2025-09-15 23:21:45,,,
2018.00,煤炭消费量(万吨标准煤),273760.00,13,2018-12-31 00:00:00,1,0,2025-09-15 23:21:45,0,2025-09-15 23:21:45,,,
2018.00,平均每天煤炭消费量(万吨),1088.90,14,2018-12-31 00:00:00,1,0,2025-09-15 23:21:45,0,2025-09-15 23:21:45,,,
2018.00,人均煤炭消费量(千克),2854.00,15,2018-12-31 00:00:00,1,0,2025-09-15 23:21:45,0,2025-09-15 23:21:45,,,
2018.00,生活煤炭消费量(万吨),7714.00,16,2018-12-31 00:00:00,1,0,2025-09-15 23:21:45,0,2025-09-15 23:21:45,,,
2018.00,人均煤炭生活消费量(千克),55.00,17,2018-12-31 00:00:00,1,0,2025-09-15 23:21:45,0,2025-09-15 23:21:45,,,
2017.00,平均每天煤炭消费量(万吨),1056.80,18,2017-12-31 00:00:00,1,0,2025-09-15 23:21:45,0,2025-09-15 23:21:45,,,
2017.00,生活煤炭消费量(万吨),9283.00,19,2017-12-31 00:00:00,1,0,2025-09-15 23:21:45,0,2025-09-15 23:21:45,,,
2017.00,人均煤炭生活消费量(千克),67.00,20,2017-12-31 00:00:00,1,0,2025-09-15 23:21:45,0,2025-09-15 23:21:45,,,
2017.00,煤炭消费量(万吨标准煤),270911.52,21,2017-12-31 00:00:00,1,0,2025-09-15 23:21:45,0,2025-09-15 23:21:45,,,
