时间,单位,如皋港,长宏2号,扬子江港,太和港,张家港,太仓华能,镇江东港,_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-07-18,万吨,187.00,95.00,180.00,140.00,0.00,103.00,54.00,1,2024-07-18 00:00:00,1,0,2024-07-20 11:26:58,0,2024-07-20 11:26:58,,,
2024-07-11,万吨,181.00,88.00,150.00,135.00,0.00,103.00,54.00,2,2024-07-11 00:00:00,1,0,2024-07-20 11:26:58,0,2024-07-20 11:26:58,,,
2024-07-04,万吨,184.00,83.00,156.00,130.00,0.00,120.00,47.00,3,2024-07-04 00:00:00,1,0,2024-07-20 11:26:58,0,2024-07-20 11:26:58,,,
2024-06-27,万吨,191.00,80.00,150.00,130.00,0.00,112.00,43.00,4,2024-06-27 00:00:00,1,0,2024-07-20 11:26:58,0,2024-07-20 11:26:58,,,
2024-06-20,万吨,179.00,85.00,160.00,130.00,0.00,112.00,41.00,5,2024-06-20 00:00:00,1,0,2024-07-20 11:26:58,0,2024-07-20 11:26:58,,,
2024-06-13,万吨,172.00,90.00,160.00,140.00,0.00,96.00,47.00,6,2024-06-13 00:00:00,1,0,2024-07-20 11:26:58,0,2024-07-20 11:26:58,,,
2024-06-06,万吨,170.00,90.00,175.00,135.00,0.00,91.00,40.00,7,2024-06-06 00:00:00,1,0,2024-07-20 11:26:58,0,2024-07-20 11:26:58,,,
2024-05-30,万吨,156.00,82.00,170.00,120.00,0.00,96.00,31.00,8,2024-05-30 00:00:00,1,0,2024-07-20 11:26:58,0,2024-07-20 11:26:58,,,
2024-05-23,万吨,169.00,81.00,160.00,110.00,0.00,90.00,21.00,9,2024-05-23 00:00:00,1,0,2024-07-20 11:26:58,0,2024-07-20 11:26:58,,,
2024-05-16,万吨,172.00,65.00,150.00,100.00,0.00,76.00,24.00,10,2024-05-16 00:00:00,1,0,2024-07-20 11:26:58,0,2024-07-20 11:26:58,,,
2024-05-09,万吨,154.00,65.00,120.00,90.00,0.00,71.00,30.00,11,2024-05-09 00:00:00,1,0,2024-07-20 11:26:58,0,2024-07-20 11:26:58,,,
2024-04-25,万吨,121.00,58.00,90.00,70.00,0.00,74.00,21.00,12,2024-04-25 00:00:00,1,0,2024-07-20 11:26:58,0,2024-07-20 11:26:58,,,
2024-04-18,万吨,122.00,55.00,90.00,60.00,0.00,64.00,26.00,13,2024-04-18 00:00:00,1,0,2024-07-20 11:26:58,0,2024-07-20 11:26:58,,,
2024-04-11,万吨,127.00,50.00,90.00,70.00,0.00,64.00,30.00,14,2024-04-11 00:00:00,1,0,2024-07-20 11:26:58,0,2024-07-20 11:26:58,,,
2024-03-28,万吨,125.00,55.00,99.00,70.00,0.00,82.00,20.00,15,2024-03-28 00:00:00,1,0,2024-07-20 11:26:58,0,2024-07-20 11:26:58,,,
2024-03-21,万吨,105.00,58.00,110.00,80.00,0.00,80.00,37.00,16,2024-03-21 00:00:00,1,0,2024-07-20 11:26:58,0,2024-07-20 11:26:58,,,
2024-03-14,万吨,115.00,60.00,114.00,90.00,0.00,72.00,30.00,17,2024-03-14 00:00:00,1,0,2024-07-20 11:26:58,0,2024-07-20 11:26:58,,,
2024-03-07,万吨,125.00,68.00,130.00,95.00,0.00,70.00,30.00,18,2024-03-07 00:00:00,1,0,2024-07-20 11:26:58,0,2024-07-20 11:26:58,,,
2024-02-29,万吨,115.00,65.00,126.00,90.00,0.00,70.00,26.00,19,2024-02-29 00:00:00,1,0,2024-07-20 11:26:58,0,2024-07-20 11:26:58,,,
2024-02-22,万吨,123.00,65.00,118.00,90.00,0.00,64.00,25.00,20,2024-02-22 00:00:00,1,0,2024-07-20 11:26:58,0,2024-07-20 11:26:58,,,
2024-02-15,万吨,115.00,65.00,115.00,78.00,0.00,45.00,27.00,21,2024-02-15 00:00:00,1,0,2024-07-20 11:26:58,0,2024-07-20 11:26:58,,,
2024-02-08,万吨,113.00,55.00,80.00,62.00,0.00,50.00,41.00,22,2024-02-08 00:00:00,1,0,2024-07-20 11:26:58,0,2024-07-20 11:26:58,,,
2024-02-01,万吨,123.00,55.00,75.00,65.00,0.00,53.00,44.00,23,2024-02-01 00:00:00,1,0,2024-07-20 11:26:58,0,2024-07-20 11:26:58,,,
2024-01-25,万吨,117.00,57.00,95.00,75.00,0.00,60.00,25.00,24,2024-01-25 00:00:00,1,0,2024-07-20 11:26:58,0,2024-07-20 11:26:58,,,
2024-01-18,万吨,131.00,56.00,108.00,80.00,0.00,61.00,45.00,25,2024-01-18 00:00:00,1,0,2024-07-20 11:26:58,0,2024-07-20 11:26:58,,,
2024-01-11,万吨,125.00,72.00,106.00,85.00,0.00,62.00,26.00,26,2024-01-11 00:00:00,1,0,2024-07-20 11:26:58,0,2024-07-20 11:26:58,,,
2024-01-04,万吨,127.00,61.00,105.00,100.00,0.00,72.00,25.00,27,2024-01-04 00:00:00,1,0,2024-07-20 11:26:58,0,2024-07-20 11:26:58,,,
2023-12-28,万吨,129.00,83.00,106.00,105.00,0.00,88.00,14.00,28,2023-12-28 00:00:00,1,0,2024-07-20 11:26:58,0,2024-07-20 11:26:58,,,
2023-12-22,万吨,116.00,70.00,113.00,100.00,0.00,94.00,14.00,29,2023-12-22 00:00:00,1,0,2024-07-20 11:26:58,0,2024-07-20 11:26:58,,,
2023-12-14,万吨,116.00,80.00,108.00,105.00,0.00,88.00,25.00,30,2023-12-14 00:00:00,1,0,2024-07-20 11:26:58,0,2024-07-20 11:26:58,,,
2023-12-07,万吨,121.00,85.00,110.00,115.00,0.00,84.00,21.00,31,2023-12-07 00:00:00,1,0,2024-07-20 11:27:02,0,2024-07-20 11:27:02,,,
2023-11-30,万吨,123.00,83.00,105.00,120.00,0.00,92.00,20.00,32,2023-11-30 00:00:00,1,0,2024-07-20 11:27:02,0,2024-07-20 11:27:02,,,
2023-11-23,万吨,120.00,83.00,110.00,120.00,0.00,92.00,26.00,33,2023-11-23 00:00:00,1,0,2024-07-20 11:27:02,0,2024-07-20 11:27:02,,,
2023-11-16,万吨,107.00,73.00,110.00,110.00,0.00,90.00,25.00,34,2023-11-16 00:00:00,1,0,2024-07-20 11:27:02,0,2024-07-20 11:27:02,,,
2023-11-09,万吨,105.00,71.00,120.00,115.00,0.00,90.00,25.00,35,2023-11-09 00:00:00,1,0,2024-07-20 11:27:02,0,2024-07-20 11:27:02,,,
2023-11-02,万吨,97.00,74.00,130.00,120.00,0.00,87.00,25.00,36,2023-11-02 00:00:00,1,0,2024-07-20 11:27:02,0,2024-07-20 11:27:02,,,
2023-10-26,万吨,92.00,77.00,130.00,120.00,0.00,93.00,26.00,37,2023-10-26 00:00:00,1,0,2024-07-20 11:27:02,0,2024-07-20 11:27:02,,,
2023-10-19,万吨,92.00,73.00,114.00,120.00,0.00,86.00,43.00,38,2023-10-19 00:00:00,1,0,2024-07-20 11:27:02,0,2024-07-20 11:27:02,,,
2023-10-12,万吨,97.00,63.00,110.00,115.00,0.00,77.00,45.00,39,2023-10-12 00:00:00,1,0,2024-07-20 11:27:02,0,2024-07-20 11:27:02,,,
2023-10-05,万吨,80.70,55.00,102.00,110.00,0.00,73.00,26.83,40,2023-10-05 00:00:00,1,0,2024-07-20 11:27:02,0,2024-07-20 11:27:02,,,
2023-09-21,万吨,90.00,50.00,80.00,95.00,0.00,60.00,36.00,41,2023-09-21 00:00:00,1,0,2024-07-20 11:27:02,0,2024-07-20 11:27:02,,,
2023-09-14,万吨,92.00,49.00,85.00,100.00,0.00,61.00,36.00,42,2023-09-14 00:00:00,1,0,2024-07-20 11:27:02,0,2024-07-20 11:27:02,,,
2023-09-07,万吨,90.00,52.00,65.00,100.00,0.00,61.00,36.00,43,2023-09-07 00:00:00,1,0,2024-07-20 11:27:02,0,2024-07-20 11:27:02,,,
2023-08-31,万吨,82.00,54.00,61.00,110.00,0.00,65.00,37.00,44,2023-08-31 00:00:00,1,0,2024-07-20 11:27:02,0,2024-07-20 11:27:02,,,
2023-08-24,万吨,87.00,55.00,75.00,110.00,0.00,66.00,36.00,45,2023-08-24 00:00:00,1,0,2024-07-20 11:27:02,0,2024-07-20 11:27:02,,,
2023-08-17,万吨,100.00,51.00,100.00,120.00,0.00,70.00,36.00,46,2023-08-17 00:00:00,1,0,2024-07-20 11:27:02,0,2024-07-20 11:27:02,,,
2023-08-10,万吨,111.00,68.00,110.00,136.00,0.00,64.00,47.00,47,2023-08-10 00:00:00,1,0,2024-07-20 11:27:02,0,2024-07-20 11:27:02,,,
2023-08-03,万吨,124.00,78.00,123.00,155.00,0.00,75.00,48.00,48,2023-08-03 00:00:00,1,0,2024-07-20 11:27:02,0,2024-07-20 11:27:02,,,
2023-07-27,万吨,125.00,80.00,133.00,160.00,0.00,75.00,48.00,49,2023-07-27 00:00:00,1,0,2024-07-20 11:27:02,0,2024-07-20 11:27:02,,,
2023-07-20,万吨,130.00,81.00,169.00,160.00,0.00,70.00,55.00,50,2023-07-20 00:00:00,1,0,2024-07-20 11:27:02,0,2024-07-20 11:27:02,,,
2023-07-13,万吨,134.00,86.00,153.00,155.00,0.00,85.00,55.00,51,2023-07-13 00:00:00,1,0,2024-07-20 11:27:02,0,2024-07-20 11:27:02,,,
2023-07-06,万吨,143.00,90.00,160.00,150.00,0.00,97.00,52.00,52,2023-07-06 00:00:00,1,0,2024-07-20 11:27:02,0,2024-07-20 11:27:02,,,
2023-06-29,万吨,136.00,86.00,159.00,140.00,0.00,100.00,52.00,53,2023-06-29 00:00:00,1,0,2024-07-20 11:27:02,0,2024-07-20 11:27:02,,,
2023-06-22,万吨,132.00,67.00,163.00,140.00,0.00,100.00,46.00,54,2023-06-22 00:00:00,1,0,2024-07-20 11:27:02,0,2024-07-20 11:27:02,,,
2023-06-15,万吨,131.00,80.00,180.00,130.00,0.00,104.00,52.00,55,2023-06-15 00:00:00,1,0,2024-07-20 11:27:02,0,2024-07-20 11:27:02,,,
2023-06-08,万吨,134.00,86.00,183.00,125.00,0.00,107.00,50.00,56,2023-06-08 00:00:00,1,0,2024-07-20 11:27:02,0,2024-07-20 11:27:02,,,
2023-06-01,万吨,141.00,90.00,186.00,135.00,0.00,114.00,57.00,57,2023-06-01 00:00:00,1,0,2024-07-20 11:27:02,0,2024-07-20 11:27:02,,,
2023-05-25,万吨,134.00,83.00,180.00,145.00,0.00,103.00,55.00,58,2023-05-25 00:00:00,1,0,2024-07-20 11:27:02,0,2024-07-20 11:27:02,,,
2023-05-18,万吨,115.00,87.00,170.00,145.00,0.00,85.00,58.00,59,2023-05-18 00:00:00,1,0,2024-07-20 11:27:02,0,2024-07-20 11:27:02,,,
2023-05-11,万吨,106.00,91.00,175.00,145.00,0.00,70.00,51.00,60,2023-05-11 00:00:00,1,0,2024-07-20 11:27:02,0,2024-07-20 11:27:02,,,
2023-05-04,万吨,105.00,85.00,165.00,145.00,0.00,63.00,52.00,61,2023-05-04 00:00:00,1,0,2024-07-20 11:27:04,0,2024-07-20 11:27:04,,,
2023-04-27,万吨,91.00,86.00,170.00,135.00,0.00,52.00,42.00,62,2023-04-27 00:00:00,1,0,2024-07-20 11:27:04,0,2024-07-20 11:27:04,,,
2023-04-20,万吨,79.00,86.00,150.00,130.00,0.00,50.00,29.00,63,2023-04-20 00:00:00,1,0,2024-07-20 11:27:04,0,2024-07-20 11:27:04,,,
2023-04-13,万吨,85.00,80.00,153.00,125.00,0.00,66.00,33.00,64,2023-04-13 00:00:00,1,0,2024-07-20 11:27:04,0,2024-07-20 11:27:04,,,
2023-04-06,万吨,74.00,81.00,149.00,130.00,0.00,68.00,41.00,65,2023-04-06 00:00:00,1,0,2024-07-20 11:27:04,0,2024-07-20 11:27:04,,,
2023-03-30,万吨,76.00,78.00,157.00,135.00,0.00,61.00,45.00,66,2023-03-30 00:00:00,1,0,2024-07-20 11:27:04,0,2024-07-20 11:27:04,,,
2023-03-23,万吨,73.00,80.00,143.00,130.00,0.00,55.00,35.00,67,2023-03-23 00:00:00,1,0,2024-07-20 11:27:04,0,2024-07-20 11:27:04,,,
2023-03-16,万吨,69.00,78.00,150.00,140.00,0.00,47.00,35.00,68,2023-03-16 00:00:00,1,0,2024-07-20 11:27:04,0,2024-07-20 11:27:04,,,
2023-03-09,万吨,76.00,77.00,120.00,145.00,0.00,50.00,35.00,69,2023-03-09 00:00:00,1,0,2024-07-20 11:27:04,0,2024-07-20 11:27:04,,,
2023-03-02,万吨,56.00,76.00,125.00,145.00,0.00,44.00,36.00,70,2023-03-02 00:00:00,1,0,2024-07-20 11:27:04,0,2024-07-20 11:27:04,,,
2023-02-23,万吨,60.00,70.00,125.00,145.00,0.00,49.00,32.00,71,2023-02-23 00:00:00,1,0,2024-07-20 11:27:04,0,2024-07-20 11:27:04,,,
2023-02-16,万吨,63.00,67.00,123.00,135.00,0.00,64.00,33.00,72,2023-02-16 00:00:00,1,0,2024-07-20 11:27:04,0,2024-07-20 11:27:04,,,
2023-02-09,万吨,70.00,75.00,120.00,140.00,0.00,75.00,40.00,73,2023-02-09 00:00:00,1,0,2024-07-20 11:27:04,0,2024-07-20 11:27:04,,,
2023-02-02,万吨,68.00,72.00,125.00,145.00,0.00,77.00,30.00,74,2023-02-02 00:00:00,1,0,2024-07-20 11:27:04,0,2024-07-20 11:27:04,,,
2023-01-26,万吨,66.00,58.00,109.00,144.00,0.00,77.00,26.00,75,2023-01-26 00:00:00,1,0,2024-07-20 11:27:04,0,2024-07-20 11:27:04,,,
2023-01-19,万吨,77.00,52.00,81.00,128.00,0.00,56.00,15.00,76,2023-01-19 00:00:00,1,0,2024-07-20 11:27:04,0,2024-07-20 11:27:04,,,
2023-01-12,万吨,66.00,39.00,80.00,130.00,0.00,54.00,14.00,77,2023-01-12 00:00:00,1,0,2024-07-20 11:27:04,0,2024-07-20 11:27:04,,,
2023-01-05,万吨,74.00,45.00,78.00,125.00,0.00,48.00,15.00,78,2023-01-05 00:00:00,1,0,2024-07-20 11:27:04,0,2024-07-20 11:27:04,,,
2022-12-29,万吨,75.00,60.00,93.00,120.00,0.00,55.00,25.00,79,2022-12-29 00:00:00,1,0,2024-07-20 11:27:04,0,2024-07-20 11:27:04,,,
2022-12-22,万吨,84.00,60.00,96.00,115.00,0.00,60.00,27.00,80,2022-12-22 00:00:00,1,0,2024-07-20 11:27:04,0,2024-07-20 11:27:04,,,
2022-12-15,万吨,86.00,44.00,95.00,115.00,0.00,64.00,26.00,81,2022-12-15 00:00:00,1,0,2024-07-20 11:27:04,0,2024-07-20 11:27:04,,,
2022-12-08,万吨,80.00,43.00,100.00,110.00,0.00,63.00,26.00,82,2022-12-08 00:00:00,1,0,2024-07-20 11:27:04,0,2024-07-20 11:27:04,,,
2022-12-01,万吨,63.00,54.00,112.00,90.00,0.00,61.00,35.00,83,2022-12-01 00:00:00,1,0,2024-07-20 11:27:04,0,2024-07-20 11:27:04,,,
2022-11-24,万吨,61.00,60.00,108.00,70.00,0.00,69.00,37.00,84,2022-11-24 00:00:00,1,0,2024-07-20 11:27:04,0,2024-07-20 11:27:04,,,
2022-11-17,万吨,49.00,58.00,109.00,65.00,0.00,61.00,37.00,85,2022-11-17 00:00:00,1,0,2024-07-20 11:27:04,0,2024-07-20 11:27:04,,,
2022-11-10,万吨,48.00,73.00,110.00,60.00,0.00,63.00,38.00,86,2022-11-10 00:00:00,1,0,2024-07-20 11:27:04,0,2024-07-20 11:27:04,,,
2022-11-03,万吨,47.00,70.00,110.00,65.00,0.00,65.00,42.00,87,2022-11-03 00:00:00,1,0,2024-07-20 11:27:04,0,2024-07-20 11:27:04,,,
2022-10-27,万吨,41.00,63.00,100.00,70.00,0.00,71.00,34.00,88,2022-10-27 00:00:00,1,0,2024-07-20 11:27:04,0,2024-07-20 11:27:04,,,
2022-10-20,万吨,29.00,60.00,102.00,65.00,0.00,75.00,24.00,89,2022-10-20 00:00:00,1,0,2024-07-20 11:27:04,0,2024-07-20 11:27:04,,,
2022-10-13,万吨,27.00,42.00,99.00,70.00,0.00,52.00,23.00,90,2022-10-13 00:00:00,1,0,2024-07-20 11:27:04,0,2024-07-20 11:27:04,,,
2022-09-29,万吨,37.00,35.00,83.00,50.00,0.00,42.00,18.00,91,2022-09-29 00:00:00,1,0,2024-07-20 11:27:08,0,2024-07-20 11:27:08,,,
2022-09-22,万吨,28.00,35.00,91.00,45.00,0.00,35.00,22.00,92,2022-09-22 00:00:00,1,0,2024-07-20 11:27:08,0,2024-07-20 11:27:08,,,
2022-09-15,万吨,40.00,35.00,79.00,40.00,0.00,42.00,17.00,93,2022-09-15 00:00:00,1,0,2024-07-20 11:27:08,0,2024-07-20 11:27:08,,,
2022-09-08,万吨,42.00,29.00,58.00,35.00,0.00,43.00,15.00,94,2022-09-08 00:00:00,1,0,2024-07-20 11:27:08,0,2024-07-20 11:27:08,,,
2022-09-01,万吨,40.00,35.00,68.00,45.00,0.00,46.00,24.00,95,2022-09-01 00:00:00,1,0,2024-07-20 11:27:08,0,2024-07-20 11:27:08,,,
2022-08-25,万吨,50.00,46.00,70.00,50.00,0.00,54.00,29.00,96,2022-08-25 00:00:00,1,0,2024-07-20 11:27:08,0,2024-07-20 11:27:08,,,
2022-08-18,万吨,46.00,43.00,78.00,50.00,0.00,55.00,34.00,97,2022-08-18 00:00:00,1,0,2024-07-20 11:27:08,0,2024-07-20 11:27:08,,,
2022-08-11,万吨,42.00,52.00,80.00,55.00,0.00,52.00,46.00,98,2022-08-11 00:00:00,1,0,2024-07-20 11:27:08,0,2024-07-20 11:27:08,,,
2022-08-04,万吨,47.00,49.00,95.00,55.00,0.00,53.00,44.00,99,2022-08-04 00:00:00,1,0,2024-07-20 11:27:08,0,2024-07-20 11:27:08,,,
2022-07-28,万吨,62.00,48.00,118.00,70.00,0.00,63.00,46.00,100,2022-07-28 00:00:00,1,0,2024-07-20 11:27:08,0,2024-07-20 11:27:08,,,
2022-07-21,万吨,66.00,60.00,134.00,85.00,0.00,61.00,43.00,101,2022-07-21 00:00:00,1,0,2024-07-20 11:27:08,0,2024-07-20 11:27:08,,,
2022-07-14,万吨,68.00,74.00,131.00,100.00,0.00,67.00,43.00,102,2022-07-14 00:00:00,1,0,2024-07-20 11:27:08,0,2024-07-20 11:27:08,,,
2022-07-07,万吨,68.00,80.00,115.00,100.00,0.00,75.00,45.00,103,2022-07-07 00:00:00,1,0,2024-07-20 11:27:08,0,2024-07-20 11:27:08,,,
2022-06-30,万吨,78.00,77.00,118.00,100.00,0.00,81.00,48.00,104,2022-06-30 00:00:00,1,0,2024-07-20 11:27:08,0,2024-07-20 11:27:08,,,
2022-06-23,万吨,78.00,78.00,130.00,90.00,0.00,86.00,36.00,105,2022-06-23 00:00:00,1,0,2024-07-20 11:27:08,0,2024-07-20 11:27:08,,,
2022-06-16,万吨,66.00,64.00,140.00,85.00,0.00,95.00,27.00,106,2022-06-16 00:00:00,1,0,2024-07-20 11:27:08,0,2024-07-20 11:27:08,,,
2022-06-09,万吨,61.00,68.00,150.00,85.00,0.00,76.00,28.00,107,2022-06-09 00:00:00,1,0,2024-07-20 11:27:08,0,2024-07-20 11:27:08,,,
2022-05-26,万吨,48.00,69.00,100.00,60.00,0.00,77.00,19.00,108,2022-05-26 00:00:00,1,0,2024-07-20 11:27:08,0,2024-07-20 11:27:08,,,
2022-05-19,万吨,45.00,60.00,110.00,60.00,0.00,84.00,19.00,109,2022-05-19 00:00:00,1,0,2024-07-20 11:27:08,0,2024-07-20 11:27:08,,,
2022-05-12,万吨,42.00,58.00,90.00,55.00,0.00,78.00,7.00,110,2022-05-12 00:00:00,1,0,2024-07-20 11:27:08,0,2024-07-20 11:27:08,,,
2022-05-05,万吨,41.00,53.00,90.00,40.00,0.00,74.00,0.00,111,2022-05-05 00:00:00,1,0,2024-07-20 11:27:08,0,2024-07-20 11:27:08,,,
2022-04-28,万吨,35.00,50.00,75.00,35.00,0.00,61.00,0.00,112,2022-04-28 00:00:00,1,0,2024-07-20 11:27:08,0,2024-07-20 11:27:08,,,
2022-04-21,万吨,20.00,50.00,70.00,30.00,0.00,55.00,0.00,113,2022-04-21 00:00:00,1,0,2024-07-20 11:27:08,0,2024-07-20 11:27:08,,,
2022-04-14,万吨,20.00,49.00,70.00,25.00,0.00,56.00,0.00,114,2022-04-14 00:00:00,1,0,2024-07-20 11:27:08,0,2024-07-20 11:27:08,,,
2022-04-07,万吨,13.00,51.00,70.00,35.00,0.00,56.00,0.00,115,2022-04-07 00:00:00,1,0,2024-07-20 11:27:08,0,2024-07-20 11:27:08,,,
2022-03-31,万吨,13.00,42.00,85.00,45.00,0.00,51.00,0.00,116,2022-03-31 00:00:00,1,0,2024-07-20 11:27:08,0,2024-07-20 11:27:08,,,
2022-03-24,万吨,14.00,48.00,85.00,45.00,0.00,40.00,0.00,117,2022-03-24 00:00:00,1,0,2024-07-20 11:27:08,0,2024-07-20 11:27:08,,,
2022-03-17,万吨,17.00,46.00,75.00,35.00,0.00,34.00,0.00,118,2022-03-17 00:00:00,1,0,2024-07-20 11:27:08,0,2024-07-20 11:27:08,,,
2022-03-10,万吨,15.00,42.00,75.00,35.00,0.00,24.00,3.00,119,2022-03-10 00:00:00,1,0,2024-07-20 11:27:08,0,2024-07-20 11:27:08,,,
2022-03-03,万吨,15.00,45.00,90.00,55.00,0.00,34.00,7.00,120,2022-03-03 00:00:00,1,0,2024-07-20 11:27:08,0,2024-07-20 11:27:08,,,
2022-02-24,万吨,23.00,33.00,90.00,60.00,0.00,34.00,18.00,121,2022-02-24 00:00:00,1,0,2024-07-20 11:27:12,0,2024-07-20 11:27:12,,,
2022-02-17,万吨,20.00,26.00,70.00,55.00,0.00,52.00,31.00,122,2022-02-17 00:00:00,1,0,2024-07-20 11:27:12,0,2024-07-20 11:27:12,,,
2022-02-10,万吨,26.00,18.00,80.00,50.00,0.00,57.00,35.00,123,2022-02-10 00:00:00,1,0,2024-07-20 11:27:12,0,2024-07-20 11:27:12,,,
2022-01-27,万吨,28.00,16.00,68.00,60.00,0.00,53.00,28.00,124,2022-01-27 00:00:00,1,0,2024-07-20 11:27:12,0,2024-07-20 11:27:12,,,
2022-01-20,万吨,28.00,21.00,70.00,70.00,0.00,60.00,27.00,125,2022-01-20 00:00:00,1,0,2024-07-20 11:27:12,0,2024-07-20 11:27:12,,,
2022-01-13,万吨,31.00,25.00,70.00,70.00,0.00,64.00,22.00,126,2022-01-13 00:00:00,1,0,2024-07-20 11:27:12,0,2024-07-20 11:27:12,,,
2022-01-06,万吨,31.00,16.00,75.00,70.00,0.00,64.00,25.00,127,2022-01-06 00:00:00,1,0,2024-07-20 11:27:12,0,2024-07-20 11:27:12,,,
2021-12-30,万吨,31.00,16.00,85.00,65.00,0.00,60.00,27.00,128,2021-12-30 00:00:00,1,0,2024-07-20 11:27:12,0,2024-07-20 11:27:12,,,
2021-12-23,万吨,32.00,20.00,87.00,65.00,0.00,67.00,26.00,129,2021-12-23 00:00:00,1,0,2024-07-20 11:27:12,0,2024-07-20 11:27:12,,,
2021-12-16,万吨,25.00,25.00,80.00,70.00,0.00,72.00,30.00,130,2021-12-16 00:00:00,1,0,2024-07-20 11:27:12,0,2024-07-20 11:27:12,,,
2021-12-09,万吨,30.00,22.00,60.00,65.00,0.00,65.00,37.00,131,2021-12-09 00:00:00,1,0,2024-07-20 11:27:12,0,2024-07-20 11:27:12,,,
2021-12-02,万吨,22.00,14.00,45.00,50.00,0.00,60.00,39.00,132,2021-12-02 00:00:00,1,0,2024-07-20 11:27:12,0,2024-07-20 11:27:12,,,
2021-11-25,万吨,18.00,11.00,40.00,40.00,0.00,59.00,33.00,133,2021-11-25 00:00:00,1,0,2024-07-20 11:27:12,0,2024-07-20 11:27:12,,,
2021-11-18,万吨,13.00,13.00,45.00,35.00,0.00,50.00,29.00,134,2021-11-18 00:00:00,1,0,2024-07-20 11:27:12,0,2024-07-20 11:27:12,,,
