时间,5500大卡,环比增减,5000大卡,环比增减_1,4500大卡,环比增减_2,_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2025-03-07,687.00,-8.00,620.00,-7.00,555.00,-6.00,1,2025-03-07 00:00:00,1,0,2025-03-07 23:17:24,0,2025-03-07 23:17:24,,,
2025-02-28,695.00,-4.00,627.00,-5.00,561.00,-4.00,2,2025-02-28 00:00:00,1,0,2025-03-07 23:17:24,0,2025-03-07 23:17:24,,,
2025-02-21,699.00,-4.00,632.00,-2.00,565.00,-3.00,3,2025-02-21 00:00:00,1,0,2025-03-07 23:17:24,0,2025-03-07 23:17:24,,,
2025-02-14,703.00,-1.00,634.00,-1.00,568.00,0.00,4,2025-02-14 00:00:00,1,0,2025-03-07 23:17:24,0,2025-03-07 23:17:24,,,
2025-02-07,704.00,-2.00,635.00,-2.00,568.00,-2.00,5,2025-02-07 00:00:00,1,0,2025-03-07 23:17:24,0,2025-03-07 23:17:24,,,
2025-01-24,706.00,-1.00,637.00,-1.00,570.00,0.00,6,2025-01-24 00:00:00,1,0,2025-03-07 23:17:24,0,2025-03-07 23:17:24,,,
2025-01-17,707.00,-1.00,638.00,-1.00,570.00,0.00,7,2025-01-17 00:00:00,1,0,2025-03-07 23:17:24,0,2025-03-07 23:17:24,,,
2025-01-10,708.00,1.00,639.00,2.00,570.00,2.00,8,2025-01-10 00:00:00,1,0,2025-03-07 23:17:24,0,2025-03-07 23:17:24,,,
2025-01-03,707.00,-2.00,637.00,-2.00,568.00,0.00,9,2025-01-03 00:00:00,1,0,2025-03-07 23:17:24,0,2025-03-07 23:17:24,,,
2024-12-27,709.00,-3.00,639.00,-3.00,568.00,-4.00,10,2024-12-27 00:00:00,1,0,2025-03-07 23:17:24,0,2025-03-07 23:17:24,,,
2024-12-20,712.00,-4.00,642.00,-5.00,572.00,-5.00,11,2024-12-20 00:00:00,1,0,2025-03-07 23:17:24,0,2025-03-07 23:17:24,,,
2024-12-13,716.00,-3.00,647.00,-2.00,577.00,-3.00,12,2024-12-13 00:00:00,1,0,2025-03-07 23:17:24,0,2025-03-07 23:17:24,,,
2024-12-06,719.00,-3.00,649.00,-3.00,580.00,-4.00,13,2024-12-06 00:00:00,1,0,2025-03-07 23:17:24,0,2025-03-07 23:17:24,,,
2024-11-29,722.00,-2.00,652.00,-2.00,584.00,-2.00,14,2024-11-29 00:00:00,1,0,2025-03-07 23:17:24,0,2025-03-07 23:17:24,,,
2024-11-22,724.00,-2.00,654.00,-2.00,586.00,-1.00,15,2024-11-22 00:00:00,1,0,2025-03-07 23:17:24,0,2025-03-07 23:17:24,,,
2024-11-15,726.00,-1.00,656.00,0.00,587.00,-1.00,16,2024-11-15 00:00:00,1,0,2025-03-07 23:17:24,0,2025-03-07 23:17:24,,,
2024-11-08,727.00,0.00,656.00,-1.00,588.00,-1.00,17,2024-11-08 00:00:00,1,0,2025-03-07 23:17:24,0,2025-03-07 23:17:24,,,
2024-11-01,727.00,-1.00,657.00,0.00,589.00,0.00,18,2024-11-01 00:00:00,1,0,2025-03-07 23:17:24,0,2025-03-07 23:17:24,,,
2024-10-25,728.00,0.00,657.00,0.00,589.00,0.00,19,2024-10-25 00:00:00,1,0,2025-03-07 23:17:24,0,2025-03-07 23:17:24,,,
2024-10-18,728.00,-2.00,657.00,-2.00,589.00,-3.00,20,2024-10-18 00:00:00,1,0,2025-03-07 23:17:24,0,2025-03-07 23:17:24,,,
2024-10-11,730.00,2.00,659.00,0.00,592.00,2.00,21,2024-10-11 00:00:00,1,0,2025-03-07 23:17:24,0,2025-03-07 23:17:24,,,
2024-09-27,728.00,1.00,659.00,1.00,590.00,1.00,22,2024-09-27 00:00:00,1,0,2025-03-07 23:17:24,0,2025-03-07 23:17:24,,,
2024-09-20,727.00,2.00,658.00,2.00,589.00,3.00,23,2024-09-20 00:00:00,1,0,2025-03-07 23:17:24,0,2025-03-07 23:17:24,,,
2024-09-13,725.00,2.00,656.00,2.00,586.00,2.00,24,2024-09-13 00:00:00,1,0,2025-03-07 23:17:24,0,2025-03-07 23:17:24,,,
2024-09-06,723.00,-2.00,654.00,0.00,584.00,-1.00,25,2024-09-06 00:00:00,1,0,2025-03-07 23:17:24,0,2025-03-07 23:17:24,,,
2024-08-30,725.00,1.00,654.00,0.00,585.00,1.00,26,2024-08-30 00:00:00,1,0,2025-03-07 23:17:24,0,2025-03-07 23:17:24,,,
2024-08-23,724.00,-1.00,654.00,-1.00,584.00,-1.00,27,2024-08-23 00:00:00,1,0,2025-03-07 23:17:24,0,2025-03-07 23:17:24,,,
2024-08-16,725.00,-2.00,655.00,-1.00,585.00,-1.00,28,2024-08-16 00:00:00,1,0,2025-03-07 23:17:24,0,2025-03-07 23:17:24,,,
2024-08-09,727.00,0.00,656.00,-1.00,586.00,-1.00,29,2024-08-09 00:00:00,1,0,2025-03-07 23:17:24,0,2025-03-07 23:17:24,,,
2024-08-02,727.00,-1.00,657.00,-1.00,587.00,-1.00,30,2024-08-02 00:00:00,1,0,2025-03-07 23:17:24,0,2025-03-07 23:17:24,,,
2024-07-26,728.00,0.00,658.00,1.00,588.00,1.00,31,2024-07-26 00:00:00,1,0,2025-03-07 23:17:27,0,2025-03-07 23:17:27,,,
2024-07-19,728.00,0.00,657.00,0.00,587.00,0.00,32,2024-07-19 00:00:00,1,0,2025-03-07 23:17:27,0,2025-03-07 23:17:27,,,
2024-07-12,728.00,1.00,657.00,1.00,587.00,1.00,33,2024-07-12 00:00:00,1,0,2025-03-07 23:17:27,0,2025-03-07 23:17:27,,,
2024-07-05,727.00,-2.00,656.00,-3.00,586.00,-3.00,34,2024-07-05 00:00:00,1,0,2025-03-07 23:17:27,0,2025-03-07 23:17:27,,,
2024-06-28,729.00,-2.00,659.00,-2.00,589.00,-3.00,35,2024-06-28 00:00:00,1,0,2025-03-07 23:17:27,0,2025-03-07 23:17:27,,,
2024-06-21,731.00,-1.00,661.00,-1.00,592.00,-1.00,36,2024-06-21 00:00:00,1,0,2025-03-07 23:17:27,0,2025-03-07 23:17:27,,,
2024-06-14,732.00,0.00,662.00,0.00,593.00,0.00,37,2024-06-14 00:00:00,1,0,2025-03-07 23:17:27,0,2025-03-07 23:17:27,,,
2024-06-07,732.00,2.00,662.00,1.00,593.00,2.00,38,2024-06-07 00:00:00,1,0,2025-03-07 23:17:27,0,2025-03-07 23:17:27,,,
2024-05-31,730.00,1.00,661.00,1.00,591.00,1.00,39,2024-05-31 00:00:00,1,0,2025-03-07 23:17:27,0,2025-03-07 23:17:27,,,
2024-05-24,729.00,4.00,660.00,3.00,590.00,3.00,40,2024-05-24 00:00:00,1,0,2025-03-07 23:17:27,0,2025-03-07 23:17:27,,,
2024-05-17,725.00,1.00,657.00,1.00,587.00,2.00,41,2024-05-17 00:00:00,1,0,2025-03-07 23:17:27,0,2025-03-07 23:17:27,,,
2024-05-10,724.00,1.00,656.00,3.00,585.00,1.00,42,2024-05-10 00:00:00,1,0,2025-03-07 23:17:27,0,2025-03-07 23:17:27,,,
2024-04-26,723.00,-1.00,653.00,0.00,584.00,0.00,43,2024-04-26 00:00:00,1,0,2025-03-07 23:17:27,0,2025-03-07 23:17:27,,,
2024-04-19,724.00,2.00,653.00,2.00,584.00,2.00,44,2024-04-19 00:00:00,1,0,2025-03-07 23:17:27,0,2025-03-07 23:17:27,,,
2024-04-12,722.00,-11.00,651.00,-10.00,582.00,-8.00,45,2024-04-12 00:00:00,1,0,2025-03-07 23:17:27,0,2025-03-07 23:17:27,,,
2024-03-29,733.00,-2.00,661.00,-1.00,590.00,-1.00,46,2024-03-29 00:00:00,1,0,2025-03-07 23:17:27,0,2025-03-07 23:17:27,,,
2024-03-22,735.00,-8.00,662.00,-8.00,591.00,-7.00,47,2024-03-22 00:00:00,1,0,2025-03-07 23:17:27,0,2025-03-07 23:17:27,,,
2024-03-15,743.00,-3.00,670.00,-4.00,598.00,-4.00,48,2024-03-15 00:00:00,1,0,2025-03-07 23:17:27,0,2025-03-07 23:17:27,,,
2024-03-08,746.00,-2.00,674.00,-3.00,602.00,-2.00,49,2024-03-08 00:00:00,1,0,2025-03-07 23:17:27,0,2025-03-07 23:17:27,,,
2024-03-01,748.00,-1.00,677.00,-1.00,604.00,0.00,50,2024-03-01 00:00:00,1,0,2025-03-07 23:17:27,0,2025-03-07 23:17:27,,,
2024-02-23,749.00,5.00,678.00,5.00,604.00,4.00,51,2024-02-23 00:00:00,1,0,2025-03-07 23:17:27,0,2025-03-07 23:17:27,,,
2024-02-09,744.00,0.00,673.00,2.00,600.00,1.00,52,2024-02-09 00:00:00,1,0,2025-03-07 23:17:27,0,2025-03-07 23:17:27,,,
2024-02-02,744.00,-3.00,671.00,-3.00,599.00,-3.00,53,2024-02-02 00:00:00,1,0,2025-03-07 23:17:27,0,2025-03-07 23:17:27,,,
2024-01-26,747.00,0.00,674.00,0.00,602.00,0.00,54,2024-01-26 00:00:00,1,0,2025-03-07 23:17:27,0,2025-03-07 23:17:27,,,
2024-01-19,747.00,-1.00,674.00,-2.00,602.00,-2.00,55,2024-01-19 00:00:00,1,0,2025-03-07 23:17:27,0,2025-03-07 23:17:27,,,
2024-01-12,748.00,-2.00,676.00,-1.00,604.00,-1.00,56,2024-01-12 00:00:00,1,0,2025-03-07 23:17:27,0,2025-03-07 23:17:27,,,
2024-01-05,750.00,0.00,677.00,-1.00,605.00,0.00,57,2024-01-05 00:00:00,1,0,2025-03-07 23:17:27,0,2025-03-07 23:17:27,,,
2023-12-29,750.00,-4.00,678.00,-4.00,605.00,-3.00,58,2023-12-29 00:00:00,1,0,2025-03-07 23:17:27,0,2025-03-07 23:17:27,,,
2023-12-22,754.00,1.00,682.00,1.00,608.00,0.00,59,2023-12-22 00:00:00,1,0,2025-03-07 23:17:27,0,2025-03-07 23:17:27,,,
2023-12-15,753.00,2.00,681.00,4.00,608.00,2.00,60,2023-12-15 00:00:00,1,0,2025-03-07 23:17:27,0,2025-03-07 23:17:27,,,
2023-12-08,751.00,-2.00,677.00,-1.00,606.00,-1.00,61,2023-12-08 00:00:00,1,0,2025-03-07 23:17:30,0,2025-03-07 23:17:30,,,
2023-12-01,753.00,0.00,678.00,0.00,607.00,0.00,62,2023-12-01 00:00:00,1,0,2025-03-07 23:17:30,0,2025-03-07 23:17:30,,,
2023-11-24,753.00,-3.00,678.00,-3.00,607.00,-1.00,63,2023-11-24 00:00:00,1,0,2025-03-07 23:17:30,0,2025-03-07 23:17:30,,,
2023-11-17,756.00,2.00,681.00,3.00,608.00,3.00,64,2023-11-17 00:00:00,1,0,2025-03-07 23:17:30,0,2025-03-07 23:17:30,,,
2023-11-10,754.00,-3.00,678.00,-3.00,605.00,0.00,65,2023-11-10 00:00:00,1,0,2025-03-07 23:17:30,0,2025-03-07 23:17:30,,,
2023-11-03,757.00,-3.00,681.00,-6.00,605.00,-3.00,66,2023-11-03 00:00:00,1,0,2025-03-07 23:17:30,0,2025-03-07 23:17:30,,,
2023-10-27,760.00,-4.00,687.00,-4.00,608.00,-4.00,67,2023-10-27 00:00:00,1,0,2025-03-07 23:17:30,0,2025-03-07 23:17:30,,,
2023-10-20,764.00,-2.00,691.00,-3.00,612.00,-4.00,68,2023-10-20 00:00:00,1,0,2025-03-07 23:17:30,0,2025-03-07 23:17:30,,,
2023-10-13,766.00,16.00,694.00,15.00,616.00,12.00,69,2023-10-13 00:00:00,1,0,2025-03-07 23:17:30,0,2025-03-07 23:17:30,,,
2023-09-28,750.00,-4.00,679.00,-3.00,604.00,-3.00,70,2023-09-28 00:00:00,1,0,2025-03-07 23:17:30,0,2025-03-07 23:17:30,,,
2023-09-22,754.00,17.00,682.00,17.00,607.00,14.00,71,2023-09-22 00:00:00,1,0,2025-03-07 23:17:30,0,2025-03-07 23:17:30,,,
2023-09-15,737.00,3.00,665.00,3.00,593.00,3.00,72,2023-09-15 00:00:00,1,0,2025-03-07 23:17:30,0,2025-03-07 23:17:30,,,
2023-09-08,734.00,9.00,662.00,9.00,590.00,8.00,73,2023-09-08 00:00:00,1,0,2025-03-07 23:17:30,0,2025-03-07 23:17:30,,,
2023-09-01,725.00,-2.00,653.00,-2.00,582.00,-1.00,74,2023-09-01 00:00:00,1,0,2025-03-07 23:17:30,0,2025-03-07 23:17:30,,,
2023-08-25,727.00,1.00,655.00,2.00,583.00,1.00,75,2023-08-25 00:00:00,1,0,2025-03-07 23:17:30,0,2025-03-07 23:17:30,,,
2023-08-18,726.00,-5.00,653.00,-6.00,582.00,-6.00,76,2023-08-18 00:00:00,1,0,2025-03-07 23:17:30,0,2025-03-07 23:17:30,,,
2023-08-11,731.00,-2.00,659.00,-2.00,588.00,-2.00,77,2023-08-11 00:00:00,1,0,2025-03-07 23:17:30,0,2025-03-07 23:17:30,,,
2023-08-04,733.00,-1.00,661.00,-1.00,590.00,-1.00,78,2023-08-04 00:00:00,1,0,2025-03-07 23:17:30,0,2025-03-07 23:17:30,,,
2023-07-28,734.00,-1.00,662.00,-2.00,591.00,-3.00,79,2023-07-28 00:00:00,1,0,2025-03-07 23:17:30,0,2025-03-07 23:17:30,,,
2023-07-21,735.00,5.00,664.00,5.00,594.00,5.00,80,2023-07-21 00:00:00,1,0,2025-03-07 23:17:30,0,2025-03-07 23:17:30,,,
2023-07-14,730.00,-1.00,659.00,-1.00,589.00,0.00,81,2023-07-14 00:00:00,1,0,2025-03-07 23:17:30,0,2025-03-07 23:17:30,,,
2023-07-07,731.00,0.00,660.00,0.00,589.00,1.00,82,2023-07-07 00:00:00,1,0,2025-03-07 23:17:30,0,2025-03-07 23:17:30,,,
2023-06-30,731.00,8.00,660.00,8.00,588.00,5.00,83,2023-06-30 00:00:00,1,0,2025-03-07 23:17:30,0,2025-03-07 23:17:30,,,
2023-06-16,723.00,-2.00,652.00,-3.00,583.00,-2.00,84,2023-06-16 00:00:00,1,0,2025-03-07 23:17:30,0,2025-03-07 23:17:30,,,
2023-06-09,725.00,-4.00,655.00,-2.00,585.00,-2.00,85,2023-06-09 00:00:00,1,0,2025-03-07 23:17:30,0,2025-03-07 23:17:30,,,
2023-06-02,729.00,-18.00,657.00,-17.00,587.00,-17.00,86,2023-06-02 00:00:00,1,0,2025-03-07 23:17:30,0,2025-03-07 23:17:30,,,
2023-05-31,747.00,-14.00,674.00,-14.00,604.00,-15.00,87,2023-05-31 00:00:00,1,0,2025-03-07 23:17:30,0,2025-03-07 23:17:30,,,
2023-05-26,761.00,-9.00,688.00,-8.00,619.00,-7.00,88,2023-05-26 00:00:00,1,0,2025-03-07 23:17:30,0,2025-03-07 23:17:30,,,
2023-05-19,770.00,-3.00,696.00,-2.00,626.00,-2.00,89,2023-05-19 00:00:00,1,0,2025-03-07 23:17:30,0,2025-03-07 23:17:30,,,
2023-05-12,773.00,-4.00,698.00,-4.00,628.00,-4.00,90,2023-05-12 00:00:00,1,0,2025-03-07 23:17:30,0,2025-03-07 23:17:30,,,
2023-05-05,777.00,-1.00,702.00,-1.00,632.00,-1.00,91,2023-05-05 00:00:00,1,0,2025-03-07 23:17:33,0,2025-03-07 23:17:33,,,
2023-04-28,778.00,-5.00,703.00,-2.00,633.00,-2.00,92,2023-04-28 00:00:00,1,0,2025-03-07 23:17:33,0,2025-03-07 23:17:33,,,
2023-04-21,783.00,1.00,705.00,4.00,635.00,4.00,93,2023-04-21 00:00:00,1,0,2025-03-07 23:17:33,0,2025-03-07 23:17:33,,,
2023-04-14,782.00,-12.00,701.00,-10.00,631.00,-10.00,94,2023-04-14 00:00:00,1,0,2025-03-07 23:17:33,0,2025-03-07 23:17:33,,,
2023-04-07,794.00,-4.00,711.00,-1.00,641.00,0.00,95,2023-04-07 00:00:00,1,0,2025-03-07 23:17:33,0,2025-03-07 23:17:33,,,
2023-03-31,798.00,-3.00,712.00,-2.00,641.00,-2.00,96,2023-03-31 00:00:00,1,0,2025-03-07 23:17:33,0,2025-03-07 23:17:33,,,
2023-03-24,801.00,-4.00,714.00,-4.00,643.00,-3.00,97,2023-03-24 00:00:00,1,0,2025-03-07 23:17:33,0,2025-03-07 23:17:33,,,
2023-03-17,805.00,0.00,718.00,-2.00,646.00,-2.00,98,2023-03-17 00:00:00,1,0,2025-03-07 23:17:33,0,2025-03-07 23:17:33,,,
2023-03-10,805.00,-4.00,720.00,-10.00,648.00,-9.00,99,2023-03-10 00:00:00,1,0,2025-03-07 23:17:33,0,2025-03-07 23:17:33,,,
2023-03-03,809.00,7.00,730.00,13.00,657.00,12.00,100,2023-03-03 00:00:00,1,0,2025-03-07 23:17:33,0,2025-03-07 23:17:33,,,
2023-02-24,802.00,20.00,717.00,24.00,645.00,22.00,101,2023-02-24 00:00:00,1,0,2025-03-07 23:17:33,0,2025-03-07 23:17:33,,,
2023-02-17,782.00,-17.00,693.00,-18.00,623.00,-17.00,102,2023-02-17 00:00:00,1,0,2025-03-07 23:17:33,0,2025-03-07 23:17:33,,,
2023-02-10,799.00,-14.00,711.00,-25.00,640.00,-22.00,103,2023-02-10 00:00:00,1,0,2025-03-07 23:17:33,0,2025-03-07 23:17:33,,,
2023-02-03,813.00,0.00,736.00,-4.00,662.00,-4.00,104,2023-02-03 00:00:00,1,0,2025-03-07 23:17:33,0,2025-03-07 23:17:33,,,
2023-01-20,813.00,0.00,740.00,0.00,666.00,0.00,105,2023-01-20 00:00:00,1,0,2025-03-07 23:17:33,0,2025-03-07 23:17:33,,,
2023-01-13,813.00,0.00,740.00,4.00,666.00,3.00,106,2023-01-13 00:00:00,1,0,2025-03-07 23:17:33,0,2025-03-07 23:17:33,,,
2023-01-06,813.00,0.00,736.00,-1.00,663.00,-1.00,107,2023-01-06 00:00:00,1,0,2025-03-07 23:17:33,0,2025-03-07 23:17:33,,,
2022-12-30,813.00,0.00,737.00,-3.00,664.00,-2.00,108,2022-12-30 00:00:00,1,0,2025-03-07 23:17:33,0,2025-03-07 23:17:33,,,
2022-12-23,813.00,0.00,740.00,0.00,666.00,0.00,109,2022-12-23 00:00:00,1,0,2025-03-07 23:17:33,0,2025-03-07 23:17:33,,,
2022-12-16,813.00,0.00,740.00,0.00,666.00,0.00,110,2022-12-16 00:00:00,1,0,2025-03-07 23:17:33,0,2025-03-07 23:17:33,,,
2022-12-09,813.00,0.00,740.00,0.00,666.00,0.00,111,2022-12-09 00:00:00,1,0,2025-03-07 23:17:33,0,2025-03-07 23:17:33,,,
2022-12-02,813.00,0.00,740.00,0.00,666.00,0.00,112,2022-12-02 00:00:00,1,0,2025-03-07 23:17:33,0,2025-03-07 23:17:33,,,
2022-11-25,813.00,0.00,740.00,0.00,666.00,0.00,113,2022-11-25 00:00:00,1,0,2025-03-07 23:17:33,0,2025-03-07 23:17:33,,,
2022-11-18,813.00,0.00,740.00,0.00,666.00,0.00,114,2022-11-18 00:00:00,1,0,2025-03-07 23:17:33,0,2025-03-07 23:17:33,,,
2022-11-11,813.00,0.00,740.00,0.00,666.00,0.00,115,2022-11-11 00:00:00,1,0,2025-03-07 23:17:33,0,2025-03-07 23:17:33,,,
2022-11-04,813.00,7.00,740.00,7.00,666.00,7.00,116,2022-11-04 00:00:00,1,0,2025-03-07 23:17:33,0,2025-03-07 23:17:33,,,
2022-10-28,806.00,20.00,733.00,18.00,659.00,24.00,117,2022-10-28 00:00:00,1,0,2025-03-07 23:17:33,0,2025-03-07 23:17:33,,,
2022-10-21,786.00,0.00,715.00,0.00,635.00,0.00,118,2022-10-21 00:00:00,1,0,2025-03-07 23:17:33,0,2025-03-07 23:17:33,,,
2022-10-14,786.00,0.00,715.00,0.00,635.00,0.00,119,2022-10-14 00:00:00,1,0,2025-03-07 23:17:33,0,2025-03-07 23:17:33,,,
2022-09-30,786.00,0.00,715.00,0.00,635.00,0.00,120,2022-09-30 00:00:00,1,0,2025-03-07 23:17:33,0,2025-03-07 23:17:33,,,
2022-09-23,786.00,0.00,715.00,0.00,635.00,0.00,121,2022-09-23 00:00:00,1,0,2025-03-07 23:17:37,0,2025-03-07 23:17:37,,,
2022-09-16,786.00,0.00,715.00,0.00,635.00,0.00,122,2022-09-16 00:00:00,1,0,2025-03-07 23:17:37,0,2025-03-07 23:17:37,,,
2022-09-09,786.00,0.00,715.00,0.00,635.00,0.00,123,2022-09-09 00:00:00,1,0,2025-03-07 23:17:37,0,2025-03-07 23:17:37,,,
2022-09-02,786.00,0.00,715.00,0.00,635.00,0.00,124,2022-09-02 00:00:00,1,0,2025-03-07 23:17:37,0,2025-03-07 23:17:37,,,
2022-08-26,786.00,0.00,715.00,0.00,635.00,0.00,125,2022-08-26 00:00:00,1,0,2025-03-07 23:17:37,0,2025-03-07 23:17:37,,,
2022-08-19,786.00,0.00,715.00,0.00,635.00,0.00,126,2022-08-19 00:00:00,1,0,2025-03-07 23:17:37,0,2025-03-07 23:17:37,,,
2022-08-12,786.00,0.00,715.00,0.00,635.00,0.00,127,2022-08-12 00:00:00,1,0,2025-03-07 23:17:37,0,2025-03-07 23:17:37,,,
2022-08-05,786.00,0.00,715.00,0.00,635.00,0.00,128,2022-08-05 00:00:00,1,0,2025-03-07 23:17:37,0,2025-03-07 23:17:37,,,
2022-07-29,786.00,0.00,715.00,0.00,635.00,0.00,129,2022-07-29 00:00:00,1,0,2025-03-07 23:17:37,0,2025-03-07 23:17:37,,,
2022-07-22,786.00,0.00,715.00,0.00,635.00,0.00,130,2022-07-22 00:00:00,1,0,2025-03-07 23:17:37,0,2025-03-07 23:17:37,,,
2022-07-15,786.00,0.00,715.00,0.00,635.00,0.00,131,2022-07-15 00:00:00,1,0,2025-03-07 23:17:37,0,2025-03-07 23:17:37,,,
2022-07-08,786.00,0.00,715.00,0.00,635.00,0.00,132,2022-07-08 00:00:00,1,0,2025-03-07 23:17:37,0,2025-03-07 23:17:37,,,
2022-07-01,786.00,0.00,715.00,0.00,635.00,0.00,133,2022-07-01 00:00:00,1,0,2025-03-07 23:17:37,0,2025-03-07 23:17:37,,,
2022-06-24,786.00,0.00,715.00,0.00,635.00,0.00,134,2022-06-24 00:00:00,1,0,2025-03-07 23:17:37,0,2025-03-07 23:17:37,,,
2022-06-17,786.00,0.00,715.00,0.00,635.00,0.00,135,2022-06-17 00:00:00,1,0,2025-03-07 23:17:37,0,2025-03-07 23:17:37,,,
2022-06-10,786.00,0.00,715.00,0.00,635.00,0.00,136,2022-06-10 00:00:00,1,0,2025-03-07 23:17:37,0,2025-03-07 23:17:37,,,
2022-05-27,786.00,0.00,715.00,0.00,635.00,0.00,137,2022-05-27 00:00:00,1,0,2025-03-07 23:17:37,0,2025-03-07 23:17:37,,,
2022-05-20,786.00,0.00,715.00,0.00,635.00,0.00,138,2022-05-20 00:00:00,1,0,2025-03-07 23:17:37,0,2025-03-07 23:17:37,,,
2022-05-13,786.00,0.00,715.00,0.00,635.00,0.00,139,2022-05-13 00:00:00,1,0,2025-03-07 23:17:37,0,2025-03-07 23:17:37,,,
2022-05-06,786.00,0.00,715.00,0.00,635.00,0.00,140,2022-05-06 00:00:00,1,0,2025-03-07 23:17:37,0,2025-03-07 23:17:37,,,
2022-04-29,786.00,0.00,715.00,0.00,635.00,0.00,141,2022-04-29 00:00:00,1,0,2025-03-07 23:17:37,0,2025-03-07 23:17:37,,,
2022-04-22,786.00,0.00,715.00,0.00,635.00,0.00,142,2022-04-22 00:00:00,1,0,2025-03-07 23:17:37,0,2025-03-07 23:17:37,,,
2022-04-15,786.00,0.00,715.00,0.00,635.00,0.00,143,2022-04-15 00:00:00,1,0,2025-03-07 23:17:37,0,2025-03-07 23:17:37,,,
2022-04-08,786.00,0.00,715.00,0.00,635.00,0.00,144,2022-04-08 00:00:00,1,0,2025-03-07 23:17:37,0,2025-03-07 23:17:37,,,
2022-04-01,786.00,0.00,715.00,0.00,635.00,0.00,145,2022-04-01 00:00:00,1,0,2025-03-07 23:17:37,0,2025-03-07 23:17:37,,,
2022-03-25,786.00,0.00,715.00,0.00,635.00,0.00,146,2022-03-25 00:00:00,1,0,2025-03-07 23:17:37,0,2025-03-07 23:17:37,,,
2022-03-18,786.00,0.00,715.00,0.00,635.00,0.00,147,2022-03-18 00:00:00,1,0,2025-03-07 23:17:37,0,2025-03-07 23:17:37,,,
2022-03-11,786.00,0.00,715.00,0.00,635.00,0.00,148,2022-03-11 00:00:00,1,0,2025-03-07 23:17:37,0,2025-03-07 23:17:37,,,
2022-03-04,786.00,0.00,715.00,0.00,635.00,0.00,149,2022-03-04 00:00:00,1,0,2025-03-07 23:17:37,0,2025-03-07 23:17:37,,,
2022-02-25,786.00,0.00,715.00,0.00,635.00,0.00,150,2022-02-25 00:00:00,1,0,2025-03-07 23:17:37,0,2025-03-07 23:17:37,,,
2022-02-18,786.00,-13.00,715.00,-15.00,635.00,-13.00,151,2022-02-18 00:00:00,1,0,2025-03-07 23:17:40,0,2025-03-07 23:17:40,,,
2022-02-11,799.00,2.00,730.00,1.00,648.00,-1.00,152,2022-02-11 00:00:00,1,0,2025-03-07 23:17:40,0,2025-03-07 23:17:40,,,
2022-01-28,797.00,-5.00,729.00,-1.00,649.00,5.00,153,2022-01-28 00:00:00,1,0,2025-03-07 23:17:40,0,2025-03-07 23:17:40,,,
2022-01-21,802.00,23.00,730.00,25.00,644.00,25.00,154,2022-01-21 00:00:00,1,0,2025-03-07 23:17:40,0,2025-03-07 23:17:40,,,
2022-01-14,779.00,38.00,705.00,36.00,619.00,33.00,155,2022-01-14 00:00:00,1,0,2025-03-07 23:17:40,0,2025-03-07 23:17:40,,,
2022-01-07,741.00,-32.00,669.00,-23.00,586.00,2.00,156,2022-01-07 00:00:00,1,0,2025-03-07 23:17:40,0,2025-03-07 23:17:40,,,
2021-12-31,773.00,-59.00,692.00,-51.00,584.00,-63.00,157,2021-12-31 00:00:00,1,0,2025-03-07 23:17:40,0,2025-03-07 23:17:40,,,
2021-12-24,832.00,,743.00,,647.00,,158,2021-12-24 00:00:00,1,0,2025-03-07 23:17:40,0,2025-03-07 23:17:40,,,
2021-11-26,986.00,,891.00,,792.00,,159,2021-11-26 00:00:00,1,0,2025-03-07 23:17:40,0,2025-03-07 23:17:40,,,
2021-10-29,1202.00,,1096.00,,961.00,,160,2021-10-29 00:00:00,1,0,2025-03-07 23:17:40,0,2025-03-07 23:17:40,,,
2021-09-24,1079.00,,980.00,,857.00,,161,2021-09-24 00:00:00,1,0,2025-03-07 23:17:40,0,2025-03-07 23:17:40,,,
2021-08-27,885.00,40.00,798.00,25.00,706.00,20.00,162,2021-08-27 00:00:00,1,0,2025-03-07 23:17:40,0,2025-03-07 23:17:40,,,
2021-07-30,845.00,35.00,773.00,29.00,686.00,26.00,163,2021-07-30 00:00:00,1,0,2025-03-07 23:17:40,0,2025-03-07 23:17:40,,,
2021-07-23,810.00,0.00,744.00,0.00,660.00,0.00,164,2021-07-23 00:00:00,1,0,2025-03-07 23:17:40,0,2025-03-07 23:17:40,,,
2021-07-16,810.00,-9.00,744.00,5.00,660.00,12.00,165,2021-07-16 00:00:00,1,0,2025-03-07 23:17:40,0,2025-03-07 23:17:40,,,
2021-06-25,819.00,24.00,739.00,25.00,648.00,19.00,166,2021-06-25 00:00:00,1,0,2025-03-07 23:17:40,0,2025-03-07 23:17:40,,,
2021-06-18,795.00,19.00,714.00,17.00,629.00,13.00,167,2021-06-18 00:00:00,1,0,2025-03-07 23:17:40,0,2025-03-07 23:17:40,,,
2021-06-11,776.00,8.00,697.00,7.00,616.00,5.00,168,2021-06-11 00:00:00,1,0,2025-03-07 23:17:40,0,2025-03-07 23:17:40,,,
2021-06-04,768.00,24.00,690.00,21.00,611.00,18.00,169,2021-06-04 00:00:00,1,0,2025-03-07 23:17:40,0,2025-03-07 23:17:40,,,
